monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,11,73.3,7,63.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,3,20.0,2,66.7,0,0.0,0,0.0,2,66.7,0,0.0,1,50.0,0,0.0
Wolyung,15,100.0,10,66.7,9,60.0,5,33.3,5,33.3,0,0.0,2,40.0,0,0.0,<--,Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,6,40.0,6,100.0,3,50.0,0,0.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,11,73.3,7,63.6,0,0.0,6,54.5,0,0.0,3,27.3,0,0.0,3,100.0,<--,Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernard,10,66.7,8,80.0,1,10.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,4,26.7,2,50.0,2,50.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SonZhangLao,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,SonZhangLao,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,5,33.3,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Eshir,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,4,26.7,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Seara,5,33.3,5,100.0,4,80.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0
Leah/LightCHUN-LI1,4,26.7,1,25.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Leah/LightCHUN-LI1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
