monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,31,68.9,24,77.4,4,12.9,9,29.0,9,29.0,0,0.0,8,88.9,0,0.0,<--,Okeanos,13,28.9,10,76.9,1,7.7,1,7.7,6,46.2,0,0.0,1,16.7,0,0.0
Ragdoll,26,57.8,20,76.9,0,0.0,4,15.4,0,0.0,1,3.8,0,0.0,0,0.0,<--,Ragdoll,1,2.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,21,46.7,17,81.0,6,28.6,0,0.0,0,0.0,1,4.8,0,0.0,1,100.0,<--,Fran,7,15.6,5,71.4,3,42.9,1,14.3,2,28.6,1,14.3,1,50.0,0,0.0
Moore/WaterRYU1,16,35.6,13,81.2,8,50.0,6,37.5,0,0.0,3,18.8,0,0.0,3,100.0,<--,Moore/WaterRYU1,3,6.7,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Seara,11,24.4,10,90.9,6,54.5,2,18.2,2,18.2,0,0.0,1,50.0,0,0.0,<--,Seara,20,44.4,13,65.0,11,55.0,2,10.0,9,45.0,0,0.0,4,44.4,0,0.0
Vigor,6,13.3,3,50.0,0,0.0,0,0.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Vigor,5,11.1,5,100.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
Verdehile,2,4.4,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,9,20.0,7,77.8,0,0.0,0,0.0,0,0.0,2,22.2,0,0.0,1,50.0
Triana,5,11.1,4,80.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Triana,1,2.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,2,4.4,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,9,20.0,7,77.8,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0
