monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Cheongpung,16,53.3,10,62.5,0,0.0,0,0.0,0,0.0,1,6.2,0,0.0,0,0.0,<--,Cheongpung,4,13.3,4,100.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,22,73.3,16,72.7,0,0.0,3,13.6,0,0.0,1,4.5,0,0.0,1,100.0,<--,Molly,7,23.3,4,57.1,0,0.0,3,42.9,3,42.9,0,0.0,2,66.7,0,0.0
Jager,27,90.0,18,66.7,16,59.3,5,18.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,3,10.0,1,33.3,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0,<--,Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,17,56.7,12,70.6,1,5.9,4,23.5,0,0.0,5,29.4,0,0.0,4,80.0,<--,Ragdoll,7,23.3,5,71.4,0,0.0,0,0.0,2,28.6,0,0.0,1,50.0,0,0.0
Giana,27,90.0,21,77.8,2,7.4,9,33.3,11,40.7,2,7.4,9,81.8,2,100.0,<--,Giana,2,6.7,0,0.0,0,0.0,1,50.0,2,100.0,0,0.0,2,100.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,13,43.3,9,69.2,5,38.5,3,23.1,1,7.7,1,7.7,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,6,20.0,5,83.3,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Han,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,6,20.0,3,50.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,14,46.7,11,78.6,8,57.1,3,21.4,6,42.9,0,0.0,0,0.0,0,0.0
Nephthys,11,36.7,7,63.6,7,63.6,3,27.3,0,0.0,4,36.4,0,0.0,2,50.0,<--,Nephthys,2,6.7,2,100.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,12,40.0,10,83.3,1,8.3,0,0.0,2,16.7,0,0.0,1,50.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Ethna,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,10.0,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,QitianDasheng,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,4,13.3,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Woonsa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woonsa,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,10,33.3,7,70.0,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,0,0.0,<--,TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,3,10.0,1,33.3,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,4,13.3,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,4,13.3,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,6,20.0,3,50.0,0,0.0,5,83.3,0,0.0,2,33.3,0,0.0,2,100.0
Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,6,20.0,4,66.7,0,0.0,4,66.7,0,0.0,2,33.3,0,0.0,0,0.0
Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,5,16.7,4,80.0,0,0.0,3,60.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Leo,3,10.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tablo,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
