monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,11,73.3,7,63.6,9,81.8,2,18.2,5,45.5,0,0.0,4,80.0,0,0.0,<--,Seara,4,26.7,2,50.0,2,50.0,1,25.0,4,100.0,0,0.0,2,50.0,0,0.0
Fran,12,80.0,8,66.7,4,33.3,1,8.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,2,13.3,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Ganymede,6,40.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,3,20.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,5,33.3,3,60.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0
Daphnis,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,9,60.0,5,55.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,6,40.0,4,66.7,1,16.7,2,33.3,3,50.0,0,0.0,2,66.7,0,0.0
Woosa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woosa,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,7,46.7,4,57.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,3,20.0,3,100.0,1,33.3,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,2,13.3,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
Han,8,53.3,5,62.5,1,12.5,1,12.5,0,0.0,2,25.0,0,0.0,1,50.0,<--,Han,1,6.7,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0
Gemini,5,33.3,3,60.0,1,20.0,3,60.0,0,0.0,4,80.0,0,0.0,3,75.0,<--,Gemini,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,12,80.0,6,50.0,0,0.0,2,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ShiHou,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,ShiHou,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,20.0,2,66.7,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,2,13.3,1,50.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Verdehile,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,2,13.3,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bering,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bering,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Woonsa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woonsa,2,13.3,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,2,13.3,1,50.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
