monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Bastet,25,83.3,11,44.0,4,16.0,5,20.0,9,36.0,0,0.0,4,44.4,0,0.0,<--,Bastet,5,16.7,3,60.0,2,40.0,1,20.0,4,80.0,0,0.0,1,25.0,0,0.0
Bernadotte/KEN,10,33.3,6,60.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernadotte/KEN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tablo,6,20.0,2,33.3,1,16.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tablo,4,13.3,3,75.0,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Gemini,9,30.0,3,33.3,1,11.1,4,44.4,0,0.0,2,22.2,0,0.0,2,100.0,<--,Gemini,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,16,53.3,7,43.8,13,81.2,1,6.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,2,6.7,1,50.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FengYan,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,FengYan,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,8,26.7,5,62.5,3,37.5,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,6,20.0,3,50.0,4,66.7,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0
Leo,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,7,23.3,1,14.3,3,42.9,2,28.6,0,0.0,2,28.6,0,0.0,2,100.0
Wedjat,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wedjat,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Lagmaron,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lagmaron,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,3,10.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,7,23.3,5,71.4,5,71.4,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Bellenus,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Bellenus,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,3,10.0,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Rakan,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Rakan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,4,13.3,2,50.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Seara,13,43.3,7,53.8,4,30.8,2,15.4,1,7.7,0,0.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,5,16.7,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
