monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,24,80.0,13,54.2,6,25.0,3,12.5,1,4.2,0,0.0,1,100.0,0,0.0,<--,Fran,6,20.0,4,66.7,1,16.7,1,16.7,1,16.7,0,0.0,0,0.0,0,0.0
Vanessa,10,33.3,6,60.0,7,70.0,3,30.0,1,10.0,0,0.0,1,100.0,0,0.0,<--,Vanessa,3,10.0,2,66.7,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,15,50.0,9,60.0,0,0.0,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,9,30.0,5,55.6,0,0.0,5,55.6,0,0.0,1,11.1,0,0.0,0,0.0,<--,Juno,9,30.0,5,55.6,5,55.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,3,10.0,3,100.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0,<--,Ethna,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,0,0.0
Seara,17,56.7,9,52.9,8,47.1,4,23.5,13,76.5,0,0.0,7,53.8,0,0.0,<--,Seara,10,33.3,7,70.0,6,60.0,3,30.0,6,60.0,0,0.0,2,33.3,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,10,33.3,6,60.0,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,1,100.0
Okeanos,13,43.3,8,61.5,0,0.0,1,7.7,3,23.1,0,0.0,2,66.7,0,0.0,<--,Okeanos,14,46.7,7,50.0,5,35.7,2,14.3,1,7.1,0,0.0,1,100.0,0,0.0
QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,QitianDasheng,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Chiwu,6,20.0,4,66.7,4,66.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,6,20.0,3,50.0,3,50.0,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,9,30.0,4,44.4,0,0.0,1,11.1,0,0.0,1,11.1,0,0.0,0,0.0,<--,Vigor,9,30.0,5,55.6,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0
Ganymede,5,16.7,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,6,20.0,4,66.7,1,16.7,1,16.7,0,0.0,1,16.7,0,0.0,1,100.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,5,16.7,2,40.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,0,0.0
Daphnis,3,10.0,2,66.7,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,1,100.0,<--,Daphnis,6,20.0,3,50.0,0,0.0,2,33.3,0,0.0,1,16.7,0,0.0,1,100.0
Velajuel,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,3,10.0,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Praha,5,16.7,4,80.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,10.0,2,66.7,0,0.0,3,100.0,1,33.3,0,0.0,1,100.0,0,0.0
Leo,2,6.7,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,2,6.7,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Antares,4,13.3,1,25.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Antares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,7,23.3,3,42.9,0,0.0,3,42.9,0,0.0,2,28.6,0,0.0,1,50.0,<--,Verdehile,5,16.7,3,60.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,5,16.7,2,40.0,0,0.0,0,0.0,2,40.0,0,0.0,1,50.0,0,0.0
