monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,18,60.0,17,94.4,12,66.7,5,27.8,7,38.9,0,0.0,6,85.7,0,0.0,<--,Seara,9,30.0,9,100.0,5,55.6,1,11.1,7,77.8,0,0.0,0,0.0,0,0.0
Okeanos,21,70.0,21,100.0,7,33.3,3,14.3,2,9.5,0,0.0,2,100.0,0,0.0,<--,Okeanos,6,20.0,5,83.3,0,0.0,4,66.7,4,66.7,0,0.0,0,0.0,0,0.0
Molly,17,56.7,16,94.1,0,0.0,3,17.6,0,0.0,1,5.9,0,0.0,1,100.0,<--,Molly,5,16.7,5,100.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0
Juno,11,36.7,11,100.0,4,36.4,1,9.1,0,0.0,2,18.2,0,0.0,2,100.0,<--,Juno,6,20.0,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,3,10.0,2,66.7,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,1,100.0,<--,Leo,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chichi,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chichi,1,3.3,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
SonZhangLao,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,SonZhangLao,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,5,16.7,5,100.0,3,60.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,6,20.0,5,83.3,0,0.0,1,16.7,0,0.0,1,16.7,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,3,10.0,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,9,30.0,9,100.0,1,11.1,5,55.6,0,0.0,0,0.0,0,0.0,0,0.0
Giana,24,80.0,24,100.0,0,0.0,8,33.3,1,4.2,2,8.3,1,100.0,2,100.0,<--,Giana,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,6,20.0,6,100.0,2,33.3,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,8,26.7,8,100.0,2,25.0,1,12.5,2,25.0,0,0.0,0,0.0,0,0.0
Verdehile,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,3,10.0,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,15,50.0,15,100.0,0,0.0,3,20.0,0,0.0,2,13.3,0,0.0,2,100.0,<--,TianLang,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,5,16.7,5,100.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Vigor,7,23.3,7,100.0,0,0.0,2,28.6,0,0.0,1,14.3,0,0.0,0,0.0
Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,4,13.3,4,100.0,0,0.0,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0
Akroma,2,6.7,2,100.0,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Akroma,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,2,6.7,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Izaria,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Izaria,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ShiHou,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,ShiHou,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,6,20.0,5,83.3,1,16.7,0,0.0,0,0.0,2,33.3,0,0.0,2,100.0,<--,Jager,2,6.7,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,2,6.7,2,100.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Artamiel,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0
Cheongpung,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Cheongpung,6,20.0,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,10.0,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Taranys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Icares,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Elucia,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Elucia,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Leona,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Leona,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernadotte/KEN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernadotte/KEN,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,2,6.7,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
